tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2015-M-FU-GER-01A-2015,Germany F1,Carpet,32,S,20150105,1,105590,1,,Uladzimir Ignatik,R,183,BLR,24.4791238877,131867,,WC,Dominik Boehler,R,,GER,18.8720054757,7-6(5) 6-3,3,R32,,,,,,,,,,,,,,,,,,,,218,223,2159,1
2015-M-FU-GER-01A-2015,Germany F1,Carpet,32,S,20150105,2,123828,,,Jan Choinski,R,,GER,18.5708418891,127157,,WC,Daniel Altmaier,R,,GER,16.3148528405,7-5 7-6(3),3,R32,,,,,,,,,,,,,,,,,,,,661,38,984,12
2015-M-FU-GER-01A-2015,Germany F1,Carpet,32,S,20150105,3,105786,,,Tom Schonenberg,R,,GER,23.5592060233,105617,,,Andreas Mies,U,,GER,24.3750855578,7-6(2) 6-4,3,R32,,,,,,,,,,,,,,,,,,,,833,20,922,15
2015-M-FU-GER-01A-2015,Germany F1,Carpet,32,S,20150105,4,122351,,,Johannes Haerteis,U,,GER,18.8692676249,106154,6,,Duje Kekez,R,,CRO,21.7686516085,6-4 6-3,3,R32,,,,,,,,,,,,,,,,,,,,794,22,493,72
2015-M-FU-GER-01A-2015,Germany F1,Carpet,32,S,20150105,5,134068,,Q,Vadym Ursu,R,,UKR,18.0095824778,122171,,LL,Alexander Mannapov,R,,GER,19.7097878166,6-4 6-4,3,R32,,,,,,,,,,,,,,,,,,,,985,12,2122,1
