tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2022-0059,Salinas CH,Hard,32,C,20220404,238,111569,6,,Gage Brymer,R,185,USA,27.1,105419,,WC,Patricio Alvarado,R,175,ECU,32.4,6-2 6-1,3,Q1,77,0,3,38,23,18,9,7,2,3,0,3,61,33,15,11,8,8,14,537,57,,
2022-0059,Salinas CH,Hard,32,C,20220404,239,104907,,,Jose Rubin Statham,R,180,NZL,34.9,111806,9,,Fajing Sun,R,178,CHN,25.5,5-7 7-5 6-2,3,Q1,161,7,3,92,64,48,11,16,2,5,2,3,110,76,48,17,16,4,9,725,28,629,40
2022-0059,Salinas CH,Hard,32,C,20220404,240,111788,5,,Naoki Nakagawa,R,180,JPN,25.3,105233,,Alt,Jeevan Nedunchezhiyan,L,173,IND,33.4,6-4 6-3,3,Q1,77,5,3,52,27,22,17,9,1,1,4,3,72,49,29,12,10,6,9,516,61,,
2022-0059,Salinas CH,Hard,32,C,20220404,241,138485,10,,Conner Huertas Del Pino,R,188,PER,26.2,122635,,Alt,Alexander Merino,L,183,PER,29.5,6-1 6-1,3,Q1,51,4,0,34,22,19,9,7,0,0,1,4,42,29,11,6,7,2,7,613,43,1306,4
2022-0059,Salinas CH,Hard,32,C,20220404,242,200587,4,,Brandon Holt,R,185,USA,23.9,210300,,WC,Francisco Castro,U,,ECU,14.7,6-0 6-1,3,Q1,47,3,0,27,17,15,9,6,0,0,0,0,37,19,4,6,7,3,9,496,66,,
2022-0059,Salinas CH,Hard,32,C,20220404,243,105031,11,,Saketh Myneni,R,193,IND,34.4,144747,,Alt,Courtney John Lock,R,193,ZIM,25.4,6-1 6-1,3,Q1,49,8,2,35,22,18,10,7,0,0,0,3,42,24,9,8,7,4,9,638,39,2129,1
2022-0059,Salinas CH,Hard,32,C,20220404,244,106352,3,,Matias Franco Descotte,R,191,ARG,27.5,106410,,,Jorge Brian Panta Herreros,R,3,PER,26.7,6-1 3-6 6-4,3,Q1,145,4,3,85,59,44,13,13,3,4,7,1,80,40,33,15,13,2,5,489,68,702,31
