tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
2019-0300,Luxembourg,Hard,32,I,20191014,270,201504,2,,Julia Goerges,R,180,GER,30.945927447,201595,,,Misaki Doi,L,159,JPN,28.4599589322,5-7 6-1 6-3,3,R32,134,21,5,94,57,43,15,14,9,13,1,4,110,73,38,16,14,17,24,26,1840,74,803
2019-0300,Luxembourg,Hard,32,I,20191014,271,201514,,,Sorana Cirstea,R,176,ROU,29.5195071869,201426,,,Pauline Parmentier,R,175,FRA,33.7002053388,6-3 6-4,3,R32,84,0,3,63,34,22,17,10,5,7,1,1,52,30,20,8,9,2,6,76,793,122,538
2019-0300,Luxembourg,Hard,32,I,20191014,272,201697,,,Kristyna Pliskova,L,184,CZE,27.5646817248,211901,,,Aliona Bolsova,R,,MDA,21.9356605065,6-2 7-6(4),3,R32,79,9,3,65,43,33,12,10,2,3,6,5,74,50,35,8,10,7,10,70,858,104,600
2019-0300,Luxembourg,Hard,32,I,20191014,273,201620,,,Monica Puig,R,170,PUR,26.045174538,211539,7,,Fiona Ferro,R,170,FRA,22.5900068446,6-1 6-0,3,R32,57,8,5,37,20,19,7,6,0,0,0,2,42,25,8,6,7,4,10,84,730,65,944
2019-0300,Luxembourg,Hard,32,I,20191014,274,214981,3,,Elena Rybakina,R,184,KAZ,20.3258042437,203564,,Q,Chloe Paquet,R,179,FRA,25.28678987,6-2 7-6(2),3,R32,86,6,1,71,44,35,14,10,1,2,5,1,64,38,28,11,10,3,6,43,1306,150,396
