ranking_date,rank,player,points
19750120,8,100016,
19750120,82,100022,
19750120,76,100025,
19750120,188,100027,
19750120,4,100029,
19750120,72,100035,
19750120,33,100037,
19750120,125,100038,
19750120,127,100039,
19750120,65,100040,
19750120,112,100047,
19750120,132,100049,
19750120,94,100054,
19750120,19,100055,
19750120,144,100056,
19750120,41,100058,
19750120,12,100060,
19750120,119,100061,
19750120,26,100062,
19750120,35,100064,
19750120,46,100067,
19750120,32,100073,
19750120,7,100074,
19750120,90,100076,
19750120,99,100078,
19750120,188,100080,
19750120,53,100081,
19750120,115,100082,
19750120,155,100083,
19750120,6,100084,
19750120,97,100085,
19750120,130,100086,
19750120,2,100087,
19750120,66,100088,
19750120,61,100090,
19750120,90,100091,
19750120,13,100092,
19750120,88,100093,
19750120,68,100098,
19750120,24,100099,
19750120,23,100100,
19750120,323,100101,
19750120,108,100102,
19750120,257,100104,
19750120,49,100105,
19750120,127,100106,
19750120,168,100107,
19750120,88,100109,
19750120,136,100111,
19750120,17,100113,
19750120,75,100114,
19750120,30,100115,
19750120,63,100116,
19750120,77,100118,
19750120,10,100119,
19750120,57,100120,
19750120,77,100121,
19750120,73,100122,
19750120,199,100124,
19750120,9,100126,
19750120,22,100127,
19750120,25,100128,
19750120,143,100129,
19750120,93,100130,
19750120,156,100132,
19750120,159,100133,
19750120,21,100135,
19750120,45,100137,
19750120,100,100139,
19750120,70,100141,
19750120,164,100142,
19750120,48,100144,
19750120,105,100145,
19750120,102,100146,
19750120,62,100147,
19750120,37,100148,
19750120,174,100149,
19750120,188,100150,
19750120,160,100155,
19750120,156,100156,
19750120,83,100160,
19750120,50,100161,
19750120,58,100162,
19750120,214,100168,
19750120,129,100169,
19750120,281,100170,
19750120,52,100171,
19750120,123,100172,
19750120,27,100173,
19750120,11,100174,
19750120,231,100175,
19750120,86,100176,
19750120,133,100178,
19750120,66,100179,
19750120,101,100182,
19750120,74,100185,
19750120,42,100186,
19750120,214,100187,
19750120,168,100190,
19750120,139,100191,
19750120,145,100193,
19750120,124,100196,
19750120,281,100197,
19750120,281,100198,
19750120,64,100199,
19750120,71,100200,
19750120,105,100201,
19750120,43,100203,
19750120,69,100205,
19750120,205,100208,
19750120,257,100210,
19750120,34,100214,
19750120,95,100215,
19750120,113,100216,
19750120,54,100219,
19750120,44,100220,
19750120,214,100221,
19750120,138,100223,
19750120,214,100226,
19750120,147,100228,
19750120,16,100229,
19750120,60,100231,
19750120,20,100232,
19750120,174,100233,
19750120,114,100235,
19750120,257,100236,
19750120,121,100238,
19750120,281,100240,
19750120,95,100243,
19750120,28,100244,
19750120,118,100245,
19750120,147,100247,
19750120,50,100249,
19750120,83,100251,
19750120,14,100255,
19750120,31,100257,
19750120,180,100258,
19750120,29,100261,
19750120,205,100262,
19750120,214,100265,
19750120,150,100266,
19750120,214,100268,
19750120,85,100270,
19750120,156,100271,
19750120,55,100272,
19750120,39,100273,
19750120,199,100274,
19750120,323,100276,
19750120,145,100278,
19750120,139,100279,
19750120,103,100280,
19750120,180,100281,
19750120,5,100282,
19750120,1,100284,
19750120,15,100286,
19750120,168,100288,
19750120,205,100289,
19750120,56,100297,
19750120,168,100298,
19750120,107,100300,
19750120,108,100301,
19750120,108,100304,
19750120,120,100305,
19750120,18,100309,
19750120,150,100317,
19750120,40,100321,
19750120,87,100324,
19750120,115,100325,
19750120,323,100326,
19750120,38,100332,
19750120,199,100334,
19750120,47,100342,
19750120,97,100343,
19750120,92,100346,
19750120,160,100354,
19750120,257,100359,
19750120,115,100367,
19750120,168,100372,
19750120,59,100376,
19750120,139,100377,
19750120,281,100382,
19750120,180,100395,
19750120,231,100403,
19750120,3,100437,
19750120,180,100456,
19750120,36,100461,
19750120,323,100474,
19750120,188,100545,
19750120,323,106468,
19750120,147,106594,
19750120,205,106629,
19750120,214,106867,
19750120,231,106899,
19750120,257,107026,
19750120,231,107082,
19750120,180,107277,
19750120,214,107284,
19750120,253,202513,
19750120,214,107425,
19750120,257,107456,
19750120,231,107457,
19750120,281,107744,
19750120,323,107985,
19750120,281,108036,
19750120,323,108052,
19750120,214,108118,
19750120,257,108198,
19750120,281,108275,
19750120,323,108343,
19750120,174,108421,
19750120,323,108434,
19750120,323,108503,
19750310,6,100016,
19750310,89,100022,
19750310,82,100025,
19750310,188,100027,
19750310,4,100029,
19750310,113,100035,
19750310,45,100037,
19750310,125,100038,
19750310,151,100039,
19750310,59,100040,
